	inst	cnt	len
0	行政院國軍退除役官兵輔導委員會	112	15
1	財政部	92	3
2	交通部	89	3
3	經濟部	80	3
4	行政院國家發展基金管理會	55	12
5	高雄市政府	41	5
6	臺北市政府	33	5
7	桃園市政府	29	5
8	台南市政府	26	5
9	臺中市政府	26	5
10	祭祀公業法人台中市邱四德	24	12
11	新竹縣政府	21	5
12	新北市政府	18	5
13	英屬維京群島商 Stemgen Biotech Holding Limited	18	39
14	日商古河電氣工業株式會社	17	12
15	日商日立化成株式會社	16	10
16	台北市政府	16	5
17	中華民國農會	16	6
18	日商發那科股份有限公司	16	11
19	臺南市政府	16	5
20	臺灣金融控股股份有限公司	15	12
21	Rivett Investment Ltd.	15	22
22	日商長瀨產業株式會社	15	10
23	雲林縣政府	15	5
24	加拿大商FLH Holding Company	14	23
25	財團法人公共電視文化事業基金會	14	15
26	日商株式會社	14	6
27	中央銀行	14	4
28	行政院農業委員會	14	8
29	日商大陽日酸株式會社	14	10
30	日商豐田通商株式會社	14	10
31	荷蘭商 Robert Bosch Investment Nederland B.V.	13	42
32	連江縣政府	13	5
33	日商大日本印刷株式會社	13	11
34	日商住友電氣工業株式會社	13	12
35	OSG株式會社	12	7
36	荷蘭商怡安控股有限公司	12	11
37	日本　　　　株式會社	12	10
38	馬來西亞商 Takau Holdings Limited	12	28
39	日商株式會社電通	12	8
40	盧森堡商 Eurofins Discovery Services LUX Holding SARL	12	49
41	嘉義市政府	12	5
42	英屬蓋曼群島商 COWEALTH MEDICAL HOLDING CO., LTD	12	41
43	台南縣區漁會	12	6
44	日商琳得科株式會社	12	9
45	財團法人中華顧問工程司	12	11
46	新加坡商 UCC ASIA PACIFIC PTE. LTD.	11	31
47	日本メクトロン株式會社	11	11
48	金門縣政府	11	5
49	日商三菱商事株式會社	11	10
50	日商荒川化學工業株式會社	11	12
51	日商出光興產株式會社	11	10
52	美商普萊克斯股份有限公司	11	12
53	南投縣政府	11	5
54	英商滙豐亞太控股(英國)股份有限公司 (HSBC Asia Pacific Holdings (UK) Limited)	11	60
55	新加坡商Hai Di Lao Holdings pte.Ltd.	11	32
56	財團法人資訊工業策進會	10	11
57	Moregeek Technology Holding, Inc.	10	33
